,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
4508,"var4_woe,var7_woe,var1_woe",0.9573610828640635,0.930965181128473,0.9433714553835088,0.580016181739879,2.480748719987451,median,stdscl,SMOTE,DT
4509,"var4_woe,var7_woe,var8_woe",0.9573610828640635,0.930965181128473,0.9433714553835088,0.6412858513105132,2.5420183895580855,median,stdscl,SMOTE,DT
4510,"var4_woe,var7_woe,var1",0.9495569607907521,0.03805121505970624,0.027674478987621497,0.4225404793161913,1.399771919094565,median,stdscl,SMOTE,DT
4511,"var4_woe,var7_woe,var2",0.9566101871270778,0.7830142859535414,0.857061413022178,0.6410762363062806,2.4547478364555366,median,stdscl,SMOTE,DT
4512,"var4_woe,var7_woe,var3",0.9654524844149532,0.17186688773886682,0.2586265581492964,0.6162593281495682,1.840338370713818,median,stdscl,SMOTE,DT
4513,"var4_woe,var7_woe,var4",0.0006252303047540486,0.025004605670836892,0.0012199560885774805,0.4219419622661238,0.4237871486594553,median,stdscl,SMOTE,DT
4514,"var4_woe,var7_woe,var5",0.9573154400013096,0.9313001390075198,0.9435366746647839,0.584659604516004,2.4855117191820977,median,stdscl,SMOTE,DT
4515,"var4_woe,var7_woe,var6",0.9573440058306507,0.9310489205982347,0.9434106725041996,0.5839654554380981,2.4847201337729485,median,stdscl,SMOTE,DT
4516,"var4_woe,var7_woe,var7",0.9572263122173543,0.9270964176254836,0.941213818519084,0.5832221442265362,2.4816622749629746,median,stdscl,SMOTE,DT
4517,"var4_woe,var7_woe,var8",0.9654200424990118,0.40504781523723393,0.5511537116524038,0.6649437848892377,2.1815175390406534,median,stdscl,SMOTE,DT
4518,"var4_woe,var5_woe,var6_woe",0.9573610828640635,0.930965181128473,0.9433714553835088,0.5844491496250976,2.48518168787267,median,stdscl,SMOTE,DT
4519,"var4_woe,var5_woe,var2_woe",0.9573610828640635,0.930965181128473,0.9433714553835088,0.6438473215806879,2.5445798598282603,median,stdscl,SMOTE,DT
4520,"var4_woe,var5_woe,var1_woe",0.9573610828640635,0.930965181128473,0.9433714553835088,0.580016181739879,2.480748719987451,median,stdscl,SMOTE,DT
4521,"var4_woe,var5_woe,var8_woe",0.9573610828640635,0.930965181128473,0.9433714553835088,0.6412858513105132,2.5420183895580855,median,stdscl,SMOTE,DT
4522,"var4_woe,var5_woe,var1",0.9495569607907521,0.03805121505970624,0.027674478987621497,0.4225404793161913,1.399771919094565,median,stdscl,SMOTE,DT
4523,"var4_woe,var5_woe,var2",0.9566101871270778,0.7830142859535414,0.857061413022178,0.6410762363062806,2.4547478364555366,median,stdscl,SMOTE,DT
