,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
0,var3_woe,0.9518680869157148,0.8381985965264868,0.8899967649351462,0.5097927967361037,2.351657648586965,mean,stdscl_WOE-ori,upsample,LR
1,var4_woe,0.9661148009650568,0.2888676748898826,0.4192003081304945,0.5828951579359718,1.9682102670315231,mean,stdscl_WOE-ori,upsample,LR
2,var7_woe,0.9550731784768716,0.10641611817313973,0.1542986210433014,0.5068347906556003,1.6162065901757734,mean,stdscl_WOE-ori,upsample,LR
3,var5_woe,0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5,2.413267396979049,mean,stdscl_WOE-ori,upsample,LR
4,var6_woe,0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5,2.413267396979049,mean,stdscl_WOE-ori,upsample,LR
5,var2_woe,0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5588177009637112,1.7986778976468565,mean,stdscl_WOE-ori,upsample,LR
6,var1_woe,0.953578891032674,0.8876216315798289,0.9184087621051541,0.5374143511182827,2.4094020042561106,mean,stdscl_WOE-ori,upsample,LR
7,var8_woe,0.949484161020264,0.7649600562729236,0.845395544688616,0.5036821724780229,2.2985618781869035,mean,stdscl_WOE-ori,upsample,LR
8,var1,0.953763005388366,0.9220218057579259,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl_WOE-ori,upsample,LR
9,var2,0.9508908111110772,0.5988544440536603,0.7285261304414596,0.5389186916986338,2.2183356332511703,mean,stdscl_WOE-ori,upsample,LR
10,var3,0.9513192341801188,0.8182853506171599,0.8782076266172913,0.5169019427015964,2.3464288034990064,mean,stdscl_WOE-ori,upsample,LR
11,var4,0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6413925399286726,2.545116279498309,mean,stdscl_WOE-ori,upsample,LR
12,var5,0.9656729108636573,0.028220201309685305,0.007698614440980305,0.489724941486361,1.4630964667909985,mean,stdscl_WOE-ori,upsample,LR
13,var6,0.9504944128255178,0.9505267212648008,0.9505105666518536,0.4925639885495603,2.3935689680269316,mean,stdscl_WOE-ori,upsample,LR
14,var7,0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
15,var8,0.9505832315233136,0.7836172101358254,0.8571123837608154,0.550646138624469,2.358341753908598,mean,stdscl_WOE-ori,upsample,LR
16,"var3_woe,var4_woe",0.9659208634464682,0.2900902711484031,0.4207625138618985,0.6116644577263638,1.9983478350347303,mean,stdscl_WOE-ori,upsample,LR
17,"var3_woe,var7_woe",0.9518680869157148,0.8381985965264868,0.8899967649351462,0.5161273140718708,2.357992165922732,mean,stdscl_WOE-ori,upsample,LR
18,"var3_woe,var5_woe",0.9518680869157148,0.8381985965264868,0.8899967649351462,0.5097927967361037,2.351657648586965,mean,stdscl_WOE-ori,upsample,LR
19,"var3_woe,var6_woe",0.9518680869157148,0.8381985965264868,0.8899967649351462,0.5097927967361037,2.351657648586965,mean,stdscl_WOE-ori,upsample,LR
20,"var3_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5622625997037524,1.8021227963868969,mean,stdscl_WOE-ori,upsample,LR
21,"var3_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5314601356189174,2.4034477887567456,mean,stdscl_WOE-ori,upsample,LR
22,"var3_woe,var8_woe",0.949484161020264,0.7649600562729236,0.845395544688616,0.5098281467608309,2.304707852469711,mean,stdscl_WOE-ori,upsample,LR
23,"var3_woe,var1",0.9539619161393956,0.9044867607898308,0.9277985841426132,0.5690364813175608,2.4507969815995696,mean,stdscl_WOE-ori,upsample,LR
24,"var3_woe,var2",0.9508758785171552,0.5985027382806613,0.7282528679492442,0.537015105810534,2.2161438522769332,mean,stdscl_WOE-ori,upsample,LR
25,"var3_woe,var3",0.9513219940426784,0.8183690900869216,0.8782577491206068,0.5169019427015964,2.346481685864881,mean,stdscl_WOE-ori,upsample,LR
26,"var3_woe,var4",0.9572763216441821,0.9346832135858916,0.9453576879359852,0.6399567536599039,2.542590763240072,mean,stdscl_WOE-ori,upsample,LR
27,"var3_woe,var5",0.9518686355238828,0.8382153444204391,0.890006595761783,0.5033378937262168,2.3452131250118837,mean,stdscl_WOE-ori,upsample,LR
28,"var3_woe,var6",0.9518680869157148,0.8381985965264868,0.8899967649351462,0.504636243470859,2.3465010953217202,mean,stdscl_WOE-ori,upsample,LR
29,"var3_woe,var7",0.9518487413947458,0.8401581001189101,0.8911331713282162,0.5154779953833385,2.3584599081063007,mean,stdscl_WOE-ori,upsample,LR
30,"var3_woe,var8",0.9505920581316514,0.783248756468874,0.8568848890342845,0.555735805846182,2.363212753012118,mean,stdscl_WOE-ori,upsample,LR
31,"var4_woe,var7_woe",0.9660665995612197,0.289185884874977,0.4196066654018924,0.5852360946751552,1.970909359638268,mean,stdscl_WOE-ori,upsample,LR
32,"var4_woe,var5_woe",0.9661148009650568,0.2888676748898826,0.4192003081304945,0.5828951579359718,1.9682102670315231,mean,stdscl_WOE-ori,upsample,LR
33,"var4_woe,var6_woe",0.9661148009650568,0.2888676748898826,0.4192003081304945,0.5828951579359718,1.9682102670315231,mean,stdscl_WOE-ori,upsample,LR
34,"var4_woe,var2_woe",0.9660073152684696,0.2892026327689293,0.4196412556699258,0.6365051013105822,2.0221536722489777,mean,stdscl_WOE-ori,upsample,LR
35,"var4_woe,var1_woe",0.9659886404179799,0.29030799376978345,0.4210165728172475,0.6095931591253434,1.996598372360571,mean,stdscl_WOE-ori,upsample,LR
36,"var4_woe,var8_woe",0.9659333795136597,0.29042522902744977,0.4211747047503441,0.5983371647506052,1.9854452490146088,mean,stdscl_WOE-ori,upsample,LR
37,"var4_woe,var1",0.9659655752671354,0.28968832169354697,0.4202536743383648,0.6112873486098518,1.997506598215352,mean,stdscl_WOE-ori,upsample,LR
38,"var4_woe,var2",0.9662826582972612,0.2951481351220084,0.4269221857272236,0.6273269232875586,2.020531767312044,mean,stdscl_WOE-ori,upsample,LR
39,"var4_woe,var3",0.9659239952562476,0.2901740106181648,0.42086558227908,0.6135760282905127,2.00036560582584,mean,stdscl_WOE-ori,upsample,LR
40,"var4_woe,var4",0.9657875842824788,0.29129611951297124,0.4222868970959232,0.6413925399286726,2.0294670213070747,mean,stdscl_WOE-ori,upsample,LR
41,"var4_woe,var5",0.9661148009650568,0.2888676748898826,0.4192003081304945,0.578338657677931,1.9636537667734824,mean,stdscl_WOE-ori,upsample,LR
42,"var4_woe,var6",0.9661154185215516,0.2888844227838349,0.4192209663921072,0.5795865854589062,1.9649229703725648,mean,stdscl_WOE-ori,upsample,LR
43,"var4_woe,var7",0.9657806295737834,0.29111189267949555,0.4220605602169984,0.5891137076316291,1.976954897422411,mean,stdscl_WOE-ori,upsample,LR
44,"var4_woe,var8",0.9659277509687704,0.2902744979818788,0.420989246165817,0.628705603015161,2.015622600149748,mean,stdscl_WOE-ori,upsample,LR
45,"var7_woe,var5_woe",0.9550731784768716,0.10641611817313973,0.1542986210433014,0.5068347906556003,1.6162065901757734,mean,stdscl_WOE-ori,upsample,LR
46,"var7_woe,var6_woe",0.9550731784768716,0.10641611817313973,0.1542986210433014,0.5068347906556003,1.6162065901757734,mean,stdscl_WOE-ori,upsample,LR
47,"var7_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5613639324681411,1.8012241291512858,mean,stdscl_WOE-ori,upsample,LR
48,"var7_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5472908488893384,2.4192785020271668,mean,stdscl_WOE-ori,upsample,LR
49,"var7_woe,var8_woe",0.949484161020264,0.7649600562729236,0.845395544688616,0.5041107620455166,2.2989904677543973,mean,stdscl_WOE-ori,upsample,LR
50,"var7_woe,var1",0.953763005388366,0.9220218057579259,0.9372112438573118,0.572975135626741,2.4639493848724188,mean,stdscl_WOE-ori,upsample,LR
51,"var7_woe,var2",0.9509127838200978,0.6006297208126078,0.7299102472158931,0.5385810802663817,2.2194041113023726,mean,stdscl_WOE-ori,upsample,LR
52,"var7_woe,var3",0.951330824516774,0.8186370563901589,0.8784181131510148,0.5217788654783198,2.3515278031461087,mean,stdscl_WOE-ori,upsample,LR
53,"var7_woe,var4",0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6477539566485936,2.5514776962182304,mean,stdscl_WOE-ori,upsample,LR
54,"var7_woe,var5",0.9549010214466394,0.10722001708285184,0.15571155988042856,0.4984690361626209,1.609081617489689,mean,stdscl_WOE-ori,upsample,LR
55,"var7_woe,var6",0.9550975227635436,0.10651660553685374,0.15446908598744358,0.5011632027745989,1.610729811525586,mean,stdscl_WOE-ori,upsample,LR
56,"var7_woe,var7",0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
57,"var7_woe,var8",0.950559931434492,0.7854427305766299,0.8582391995433561,0.5506510513862457,2.3594501823640943,mean,stdscl_WOE-ori,upsample,LR
58,"var5_woe,var6_woe",0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5,2.413267396979049,mean,stdscl_WOE-ori,upsample,LR
59,"var5_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5588177009637112,1.7986778976468565,mean,stdscl_WOE-ori,upsample,LR
60,"var5_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5374143511182827,2.4094020042561106,mean,stdscl_WOE-ori,upsample,LR
61,"var5_woe,var8_woe",0.949484161020264,0.7649600562729236,0.845395544688616,0.5036821724780229,2.2985618781869035,mean,stdscl_WOE-ori,upsample,LR
62,"var5_woe,var1",0.953763005388366,0.9220218057579259,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl_WOE-ori,upsample,LR
63,"var5_woe,var2",0.9508908111110772,0.5988544440536603,0.7285261304414596,0.5389186916986338,2.2183356332511703,mean,stdscl_WOE-ori,upsample,LR
64,"var5_woe,var3",0.9513192341801188,0.8182853506171599,0.8782076266172913,0.5169019427015964,2.3464288034990064,mean,stdscl_WOE-ori,upsample,LR
65,"var5_woe,var4",0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6413925399286726,2.545116279498309,mean,stdscl_WOE-ori,upsample,LR
66,"var5_woe,var5",0.9656729108636573,0.028220201309685305,0.007698614440980305,0.489724941486361,1.4630964667909985,mean,stdscl_WOE-ori,upsample,LR
67,"var5_woe,var6",0.9504944128255178,0.9505267212648008,0.9505105666518536,0.4925639885495603,2.3935689680269316,mean,stdscl_WOE-ori,upsample,LR
68,"var5_woe,var7",0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
69,"var5_woe,var8",0.9505832315233136,0.7836172101358254,0.8571123837608154,0.5506456266387569,2.3583412419228864,mean,stdscl_WOE-ori,upsample,LR
70,"var6_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5588177009637112,1.7986778976468565,mean,stdscl_WOE-ori,upsample,LR
71,"var6_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5374143511182827,2.4094020042561106,mean,stdscl_WOE-ori,upsample,LR
72,"var6_woe,var8_woe",0.949484161020264,0.7649600562729236,0.845395544688616,0.5036821724780229,2.2985618781869035,mean,stdscl_WOE-ori,upsample,LR
73,"var6_woe,var1",0.953763005388366,0.9220218057579259,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl_WOE-ori,upsample,LR
74,"var6_woe,var2",0.9508908111110772,0.5988544440536603,0.7285261304414596,0.5389186916986338,2.2183356332511703,mean,stdscl_WOE-ori,upsample,LR
75,"var6_woe,var3",0.9513192341801188,0.8182853506171599,0.8782076266172913,0.5169019427015964,2.3464288034990064,mean,stdscl_WOE-ori,upsample,LR
76,"var6_woe,var4",0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6413925399286726,2.545116279498309,mean,stdscl_WOE-ori,upsample,LR
77,"var6_woe,var5",0.9656729108636573,0.028220201309685305,0.007698614440980305,0.489724941486361,1.4630964667909985,mean,stdscl_WOE-ori,upsample,LR
78,"var6_woe,var6",0.9504944128255178,0.9505267212648008,0.9505105666518536,0.4925639885495603,2.3935689680269316,mean,stdscl_WOE-ori,upsample,LR
79,"var6_woe,var7",0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
80,"var6_woe,var8",0.9505832315233136,0.7836172101358254,0.8571123837608154,0.5506456266387569,2.3583412419228864,mean,stdscl_WOE-ori,upsample,LR
81,"var2_woe,var1_woe",0.9532072320313728,0.6813713175568172,0.7895569309211222,0.5741404611286179,2.316904624081113,mean,stdscl_WOE-ori,upsample,LR
82,"var2_woe,var8_woe",0.9507335093828296,0.822137366226197,0.8804220367719249,0.5626065160387062,2.3937620621934608,mean,stdscl_WOE-ori,upsample,LR
83,"var2_woe,var1",0.9679578115085152,0.18065953206384291,0.2713887661015653,0.5698139690135662,1.809160546623647,mean,stdscl_WOE-ori,upsample,LR
84,"var2_woe,var2",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5665380773323471,1.806398274015492,mean,stdscl_WOE-ori,upsample,LR
85,"var2_woe,var3",0.9682564309399236,0.1932706962099516,0.289957331670553,0.5701796706282012,1.828393433238677,mean,stdscl_WOE-ori,upsample,LR
86,"var2_woe,var4",0.9568989446994426,0.8167947880554021,0.8778903126787635,0.6692429116556113,2.5040321690338176,mean,stdscl_WOE-ori,upsample,LR
87,"var2_woe,var5",0.9679769459207856,0.18104473362474668,0.2719602624095656,0.5555690883414434,1.7955062966717945,mean,stdscl_WOE-ori,upsample,LR
88,"var2_woe,var6",0.9679752856764234,0.181011237836842,0.2719105824599252,0.5565935659986629,1.7964794341350117,mean,stdscl_WOE-ori,upsample,LR
89,"var2_woe,var7",0.9676117987206704,0.19948416486626808,0.2991154976149695,0.5594300531333021,1.826157349468942,mean,stdscl_WOE-ori,upsample,LR
90,"var2_woe,var8",0.9675662995335929,0.2546182317573565,0.3751052559644702,0.5846111844739976,1.9272827399720605,mean,stdscl_WOE-ori,upsample,LR
91,"var1_woe,var8_woe",0.9536697613982886,0.9204977474082634,0.9363612105747292,0.5307947152673725,2.42082568724039,mean,stdscl_WOE-ori,upsample,LR
92,"var1_woe,var1",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5687123138247371,2.440699966962565,mean,stdscl_WOE-ori,upsample,LR
93,"var1_woe,var2",0.953843896512593,0.8964980153745666,0.9233843762287608,0.5438852752541037,2.421113547995458,mean,stdscl_WOE-ori,upsample,LR
94,"var1_woe,var3",0.9536589359862064,0.8904017819759166,0.9199699204215452,0.5366838107862804,2.410312667194032,mean,stdscl_WOE-ori,upsample,LR
95,"var1_woe,var4",0.9574242542715318,0.9225577383644008,0.9387982155207436,0.6473815531985141,2.54360402299079,mean,stdscl_WOE-ori,upsample,LR
96,"var1_woe,var5",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5295598920195671,2.401547545157395,mean,stdscl_WOE-ori,upsample,LR
97,"var1_woe,var6",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5314261374665759,2.403413790604404,mean,stdscl_WOE-ori,upsample,LR
98,"var1_woe,var7",0.953515790039789,0.8882245557621129,0.9187268834477804,0.5478519161979947,2.420094589685564,mean,stdscl_WOE-ori,upsample,LR
99,"var1_woe,var8",0.95283006029954,0.8169287712070207,0.8775652347275285,0.5691439983170974,2.3995392933441657,mean,stdscl_WOE-ori,upsample,LR
100,"var8_woe,var1",0.951338207715778,0.8386005459813428,0.8901507364046374,0.5328833408455251,2.3743722849659408,mean,stdscl_WOE-ori,upsample,LR
101,"var8_woe,var2",0.9502102197246828,0.796429349009362,0.8649487077105856,0.5293009480548729,2.3444598754901413,mean,stdscl_WOE-ori,upsample,LR
