,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
1786,"var3_woe,var6_woe,var1_woe",0.9580138860074975,0.43845986367214324,0.5864987569722669,0.5902925691153099,2.1348052120950745,mean,stdscl,SMOTE,LR
1787,"var3_woe,var6_woe,var8_woe",0.9630130117632277,0.41487882898725487,0.5617910154057253,0.6213158486109104,2.1461198757798634,mean,stdscl,SMOTE,LR
1788,"var3_woe,var6_woe,var1",0.9543205519701122,0.8680265956555963,0.9075731941295,0.5893657081496436,2.451259454249256,mean,stdscl,SMOTE,LR
1789,"var3_woe,var6_woe,var2",0.9523239281454483,0.9665879515650907,0.9591985477381296,0.5441538491523036,2.4556763250358817,mean,stdscl,SMOTE,LR
1790,"var3_woe,var6_woe,var3",0.953194117878638,0.9015056356663149,0.92593906992281,0.5643513403348741,2.443484528136322,mean,stdscl,SMOTE,LR
1791,"var3_woe,var6_woe,var4",0.9574474138008422,0.9372791371485035,0.9468292491816919,0.633109830668722,2.537386493651256,mean,stdscl,SMOTE,LR
1792,"var3_woe,var6_woe,var5",0.9672254353484676,0.11061983955517593,0.15986167990524933,0.5469115365084701,1.673998651762187,mean,stdscl,SMOTE,LR
1793,"var3_woe,var6_woe,var6",0.953194117878638,0.9015056356663149,0.92593906992281,0.5479768004432024,2.4271099882446503,mean,stdscl,SMOTE,LR
1794,"var3_woe,var6_woe,var7",0.9532535216210487,0.8844562796228375,0.9165690514550928,0.5603192457569156,2.4301418188330572,mean,stdscl,SMOTE,LR
1795,"var3_woe,var6_woe,var8",0.952623902312788,0.7838014369693012,0.8573477584783393,0.5921722642543956,2.402143925045523,mean,stdscl,SMOTE,LR
1796,"var3_woe,var2_woe,var1_woe",0.9613687387284253,0.3772128154884523,0.5226303069159289,0.6250007823601892,2.1089998280045434,mean,stdscl,SMOTE,LR
1797,"var3_woe,var2_woe,var8_woe",0.9658184823640291,0.4027868495536686,0.5487191466250871,0.6464883912474697,2.161026020236586,mean,stdscl,SMOTE,LR
1798,"var3_woe,var2_woe,var1",0.9663589579269517,0.3288448977541074,0.4672276433985311,0.6252585700425447,2.0588451713680276,mean,stdscl,SMOTE,LR
1799,"var3_woe,var2_woe,var2",0.952191321738869,0.9657673047614262,0.9587663061501317,0.5441538491523036,2.4551114770413043,mean,stdscl,SMOTE,LR
1800,"var3_woe,var2_woe,var3",0.9662363670109796,0.3413220787485974,0.48164720636277375,0.6313369334481165,2.07922050682187,mean,stdscl,SMOTE,LR
1801,"var3_woe,var2_woe,var4",0.9573470793234792,0.8238623993032876,0.8821958368274878,0.6829754096829129,2.5225183258338797,mean,stdscl,SMOTE,LR
1802,"var3_woe,var2_woe,var5",0.9660982671751854,0.3320772412869082,0.4710437129521743,0.6241624604068218,2.0613044405341814,mean,stdscl,SMOTE,LR
1803,"var3_woe,var2_woe,var6",0.9660971917638216,0.3320437454990035,0.4710051469111664,0.6248059344045286,2.0619082730795166,mean,stdscl,SMOTE,LR
1804,"var3_woe,var2_woe,var7",0.9662465488142064,0.34328158234102063,0.4838794037965247,0.627193893292145,2.077319845902876,mean,stdscl,SMOTE,LR
1805,"var3_woe,var2_woe,var8",0.9664625099913943,0.3637475087507746,0.5067661537276926,0.6379305730806795,2.1111592367997662,mean,stdscl,SMOTE,LR
1806,"var3_woe,var1_woe,var8_woe",0.9650276451998284,0.4001909259910566,0.5461906623955824,0.6370536220929681,2.148271929688379,mean,stdscl,SMOTE,LR
1807,"var3_woe,var1_woe,var1",0.9580651094312479,0.4379071831717162,0.5859439350550922,0.5902606246584653,2.1342696691448055,mean,stdscl,SMOTE,LR
1808,"var3_woe,var1_woe,var2",0.9523152528364127,0.9665377078832337,0.9591720692315178,0.5368270920012322,2.448314414069163,mean,stdscl,SMOTE,LR
1809,"var3_woe,var1_woe,var3",0.9582426993946983,0.4456614580716475,0.5934971078115585,0.5969509145376424,2.1486907217438995,mean,stdscl,SMOTE,LR
1810,"var3_woe,var1_woe,var4",0.9574396902427919,0.9121238004320956,0.9330504470319511,0.6509759057452943,2.541466043020037,mean,stdscl,SMOTE,LR
1811,"var3_woe,var1_woe,var5",0.9580153146000608,0.4384933594600479,0.5865313997508725,0.5875584503598442,2.1321051647107776,mean,stdscl,SMOTE,LR
1812,"var3_woe,var1_woe,var6",0.9580146003301488,0.4384766115660956,0.5865150785546281,0.5880499969119783,2.1325796757967552,mean,stdscl,SMOTE,LR
1813,"var3_woe,var1_woe,var7",0.9583559881998646,0.4484081126798305,0.5961415873898049,0.5930261816377118,2.1475237572273813,mean,stdscl,SMOTE,LR
1814,"var3_woe,var1_woe,var8",0.9595704986335339,0.4322631429097791,0.580039947858996,0.6041637174755612,2.143774163968091,mean,stdscl,SMOTE,LR
1815,"var3_woe,var8_woe,var1",0.9647006032206622,0.4033227821601434,0.5495234916932702,0.6348440413284991,2.1490681362424313,mean,stdscl,SMOTE,LR
1816,"var3_woe,var8_woe,var2",0.9524543307830401,0.9672913631110888,0.9595694640011243,0.556128821035659,2.4681526158198235,mean,stdscl,SMOTE,LR
1817,"var3_woe,var8_woe,var3",0.9636007013676343,0.4155654926393006,0.5623626862100676,0.6273750614497907,2.1533384490274927,mean,stdscl,SMOTE,LR
1818,"var3_woe,var8_woe,var4",0.9655766288570097,0.4889882597263394,0.6329751845354861,0.6922276185388436,2.2907794319313393,mean,stdscl,SMOTE,LR
1819,"var3_woe,var8_woe,var5",0.9630130117632277,0.41487882898725487,0.5617910154057253,0.6193150429640002,2.144119070132953,mean,stdscl,SMOTE,LR
1820,"var3_woe,var8_woe,var6",0.9630130117632277,0.41487882898725487,0.5617910154057253,0.6197941177742939,2.144598144943247,mean,stdscl,SMOTE,LR
1821,"var3_woe,var8_woe,var7",0.9636887673647498,0.40431090790333113,0.5507731307674277,0.6224993352239452,2.1369612333561228,mean,stdscl,SMOTE,LR
1822,"var3_woe,var8_woe,var8",0.9643424873543341,0.39176673533303186,0.5374982469710664,0.6234105604911233,2.1252512948165236,mean,stdscl,SMOTE,LR
1823,"var3_woe,var1,var2",0.952191321738869,0.9657673047614262,0.9587663061501317,0.5343769124679772,2.4453345403569777,mean,stdscl,SMOTE,LR
1824,"var3_woe,var1,var3",0.954359271902119,0.8685457803681187,0.9078759797835398,0.5969413823991601,2.4591766340848187,mean,stdscl,SMOTE,LR
1825,"var3_woe,var1,var4",0.9576431798050244,0.9232946456983034,0.9392768059995288,0.6495559104965217,2.5464758963010747,mean,stdscl,SMOTE,LR
1826,"var3_woe,var1,var5",0.954316537219749,0.86790936039793,0.9075057591624546,0.5871315578236432,2.448953854205847,mean,stdscl,SMOTE,LR
1827,"var3_woe,var1,var6",0.9543205519701122,0.8680265956555963,0.9075731941295,0.5873779840253095,2.449271730124922,mean,stdscl,SMOTE,LR
1828,"var3_woe,var1,var7",0.9542775723153116,0.8593511865882866,0.9026123402836418,0.5958801740815851,2.4527700866805384,mean,stdscl,SMOTE,LR
1829,"var3_woe,var1,var8",0.9533481300763471,0.7889430404126682,0.8605794557481165,0.5997674687454009,2.4136950545698648,mean,stdscl,SMOTE,LR
1830,"var3_woe,var2,var3",0.9567161953753633,0.9745097054045454,0.9628257103117196,0.5424270479037303,2.461968953590813,mean,stdscl,SMOTE,LR
1831,"var3_woe,var2,var4",0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5617087577215499,2.474976154700599,mean,stdscl,SMOTE,LR
1832,"var3_woe,var2,var5",0.9521837821525088,0.9657170610795692,0.9587398583852732,0.5459997877502828,2.4569234282880648,mean,stdscl,SMOTE,LR
1833,"var3_woe,var2,var6",0.9521989231204849,0.9658175484432833,0.9587927556926078,0.545243527327059,2.4562352061401516,mean,stdscl,SMOTE,LR
1834,"var3_woe,var2,var7",0.952191321738869,0.9657673047614262,0.9587663061501317,0.5420784201496959,2.4530360480386966,mean,stdscl,SMOTE,LR
1835,"var3_woe,var2,var8",0.952191321738869,0.9657673047614262,0.9587663061501317,0.53695483531272,2.4479124632017206,mean,stdscl,SMOTE,LR
1836,"var3_woe,var3,var4",0.9560445127900312,0.8766182652531445,0.9128063247064159,0.6342405309795767,2.5030913684760234,mean,stdscl,SMOTE,LR
1837,"var3_woe,var3,var5",0.953194117878638,0.9015056356663149,0.92593906992281,0.5591629806763477,2.438296168477796,mean,stdscl,SMOTE,LR
1838,"var3_woe,var3,var6",0.953194117878638,0.9015056356663149,0.92593906992281,0.5600661752462892,2.439199363047737,mean,stdscl,SMOTE,LR
1839,"var3_woe,var3,var7",0.9532848080282497,0.8847409938200271,0.9167350721784921,0.5704293930974293,2.4404492733041714,mean,stdscl,SMOTE,LR
1840,"var3_woe,var3,var8",0.9527358654573693,0.7918236781724698,0.8623178983493918,0.5988304428499227,2.413884206656684,mean,stdscl,SMOTE,LR
1841,"var3_woe,var4,var5",0.9574474138008422,0.9372791371485035,0.9468292491816919,0.6294821242662267,2.533758787248761,mean,stdscl,SMOTE,LR
